id,comment_text,argument_text,label
100arg1,"Just because I'm not going to marry a woman, doesn't mean I have the right to take that away from someone else. Skin is skin. Love is love. And if two men want to marry each other because they are madly in love, how does that concern me in even the slightest? And for you Jesus-loving Christians, aren't we supposed to accept everyone for who they are? Doesn't god want all of his children to be themselves?",Gay couples can declare their union without resort to marriage,3
100arg2,"Just because I'm not going to marry a woman, doesn't mean I have the right to take that away from someone else. Skin is skin. Love is love. And if two men want to marry each other because they are madly in love, how does that concern me in even the slightest? And for you Jesus-loving Christians, aren't we supposed to accept everyone for who they are? Doesn't god want all of his children to be themselves?",Gay couples should be able to take advantage of the fiscal and legal benefits of marriage,3
100arg3,"Just because I'm not going to marry a woman, doesn't mean I have the right to take that away from someone else. Skin is skin. Love is love. And if two men want to marry each other because they are madly in love, how does that concern me in even the slightest? And for you Jesus-loving Christians, aren't we supposed to accept everyone for who they are? Doesn't god want all of his children to be themselves?","Gay marriage undermines the institution of marriage, leading to an increase in out of wedlock births and divorce rates",3
100arg4,"Just because I'm not going to marry a woman, doesn't mean I have the right to take that away from someone else. Skin is skin. Love is love. And if two men want to marry each other because they are madly in love, how does that concern me in even the slightest? And for you Jesus-loving Christians, aren't we supposed to accept everyone for who they are? Doesn't god want all of his children to be themselves?",It is discriminatory to refuse gay couples the right to marry,4
100arg5,"Just because I'm not going to marry a woman, doesn't mean I have the right to take that away from someone else. Skin is skin. Love is love. And if two men want to marry each other because they are madly in love, how does that concern me in even the slightest? And for you Jesus-loving Christians, aren't we supposed to accept everyone for who they are? Doesn't god want all of his children to be themselves?",Major world religions are against gay marriages,2
100arg6,"Just because I'm not going to marry a woman, doesn't mean I have the right to take that away from someone else. Skin is skin. Love is love. And if two men want to marry each other because they are madly in love, how does that concern me in even the slightest? And for you Jesus-loving Christians, aren't we supposed to accept everyone for who they are? Doesn't god want all of his children to be themselves?","Marriage is about more than procreation, therefore gay couples should not be denied the right to marry due to their biology.",3
100arg7,"Just because I'm not going to marry a woman, doesn't mean I have the right to take that away from someone else. Skin is skin. Love is love. And if two men want to marry each other because they are madly in love, how does that concern me in even the slightest? And for you Jesus-loving Christians, aren't we supposed to accept everyone for who they are? Doesn't god want all of his children to be themselves?",Marriage should be between a man and a woman,2
101arg1,"Legalizing gay marriage has nothing to do with the church, or it shouldn't. One part of marriage is getting benefits from the other. Many married couples never have children but still get the benefits of marriage, should we take those benefits away because they don't have children? Another is the promise to be with each other for an eternity etc. Marriage is also about being able to celebrate having each other. And last, marriage is about being there for each other. Granting marriage to same-sex couples lets them see eachother in hospitals, make medical desicions for their partner when they are unable to and ensure both of the participants safety. Everyone deserves the right to recive these things in a relationship.  And besides, not every wedding is in a church, plenty of atheists get married, should we ban marriage from them too for not being christian, muslim or jewish (or any other religion)? Contemplate that then look around you, look at your boyfriend/girlfriend and your relatives, some of them might be homosexual. And do they deserve to have the right to happiness as the Constitution states? I think they do.",Gay couples can declare their union without resort to marriage,3
101arg2,"Legalizing gay marriage has nothing to do with the church, or it shouldn't. One part of marriage is getting benefits from the other. Many married couples never have children but still get the benefits of marriage, should we take those benefits away because they don't have children? Another is the promise to be with each other for an eternity etc. Marriage is also about being able to celebrate having each other. And last, marriage is about being there for each other. Granting marriage to same-sex couples lets them see eachother in hospitals, make medical desicions for their partner when they are unable to and ensure both of the participants safety. Everyone deserves the right to recive these things in a relationship.  And besides, not every wedding is in a church, plenty of atheists get married, should we ban marriage from them too for not being christian, muslim or jewish (or any other religion)? Contemplate that then look around you, look at your boyfriend/girlfriend and your relatives, some of them might be homosexual. And do they deserve to have the right to happiness as the Constitution states? I think they do.",Gay couples should be able to take advantage of the fiscal and legal benefits of marriage,5
101arg3,"Legalizing gay marriage has nothing to do with the church, or it shouldn't. One part of marriage is getting benefits from the other. Many married couples never have children but still get the benefits of marriage, should we take those benefits away because they don't have children? Another is the promise to be with each other for an eternity etc. Marriage is also about being able to celebrate having each other. And last, marriage is about being there for each other. Granting marriage to same-sex couples lets them see eachother in hospitals, make medical desicions for their partner when they are unable to and ensure both of the participants safety. Everyone deserves the right to recive these things in a relationship.  And besides, not every wedding is in a church, plenty of atheists get married, should we ban marriage from them too for not being christian, muslim or jewish (or any other religion)? Contemplate that then look around you, look at your boyfriend/girlfriend and your relatives, some of them might be homosexual. And do they deserve to have the right to happiness as the Constitution states? I think they do.","Gay marriage undermines the institution of marriage, leading to an increase in out of wedlock births and divorce rates",3
101arg4,"Legalizing gay marriage has nothing to do with the church, or it shouldn't. One part of marriage is getting benefits from the other. Many married couples never have children but still get the benefits of marriage, should we take those benefits away because they don't have children? Another is the promise to be with each other for an eternity etc. Marriage is also about being able to celebrate having each other. And last, marriage is about being there for each other. Granting marriage to same-sex couples lets them see eachother in hospitals, make medical desicions for their partner when they are unable to and ensure both of the participants safety. Everyone deserves the right to recive these things in a relationship.  And besides, not every wedding is in a church, plenty of atheists get married, should we ban marriage from them too for not being christian, muslim or jewish (or any other religion)? Contemplate that then look around you, look at your boyfriend/girlfriend and your relatives, some of them might be homosexual. And do they deserve to have the right to happiness as the Constitution states? I think they do.",It is discriminatory to refuse gay couples the right to marry,5
101arg5,"Legalizing gay marriage has nothing to do with the church, or it shouldn't. One part of marriage is getting benefits from the other. Many married couples never have children but still get the benefits of marriage, should we take those benefits away because they don't have children? Another is the promise to be with each other for an eternity etc. Marriage is also about being able to celebrate having each other. And last, marriage is about being there for each other. Granting marriage to same-sex couples lets them see eachother in hospitals, make medical desicions for their partner when they are unable to and ensure both of the participants safety. Everyone deserves the right to recive these things in a relationship.  And besides, not every wedding is in a church, plenty of atheists get married, should we ban marriage from them too for not being christian, muslim or jewish (or any other religion)? Contemplate that then look around you, look at your boyfriend/girlfriend and your relatives, some of them might be homosexual. And do they deserve to have the right to happiness as the Constitution states? I think they do.",Major world religions are against gay marriages,3
101arg6,"Legalizing gay marriage has nothing to do with the church, or it shouldn't. One part of marriage is getting benefits from the other. Many married couples never have children but still get the benefits of marriage, should we take those benefits away because they don't have children? Another is the promise to be with each other for an eternity etc. Marriage is also about being able to celebrate having each other. And last, marriage is about being there for each other. Granting marriage to same-sex couples lets them see eachother in hospitals, make medical desicions for their partner when they are unable to and ensure both of the participants safety. Everyone deserves the right to recive these things in a relationship.  And besides, not every wedding is in a church, plenty of atheists get married, should we ban marriage from them too for not being christian, muslim or jewish (or any other religion)? Contemplate that then look around you, look at your boyfriend/girlfriend and your relatives, some of them might be homosexual. And do they deserve to have the right to happiness as the Constitution states? I think they do.","Marriage is about more than procreation, therefore gay couples should not be denied the right to marry due to their biology.",5
101arg7,"Legalizing gay marriage has nothing to do with the church, or it shouldn't. One part of marriage is getting benefits from the other. Many married couples never have children but still get the benefits of marriage, should we take those benefits away because they don't have children? Another is the promise to be with each other for an eternity etc. Marriage is also about being able to celebrate having each other. And last, marriage is about being there for each other. Granting marriage to same-sex couples lets them see eachother in hospitals, make medical desicions for their partner when they are unable to and ensure both of the participants safety. Everyone deserves the right to recive these things in a relationship.  And besides, not every wedding is in a church, plenty of atheists get married, should we ban marriage from them too for not being christian, muslim or jewish (or any other religion)? Contemplate that then look around you, look at your boyfriend/girlfriend and your relatives, some of them might be homosexual. And do they deserve to have the right to happiness as the Constitution states? I think they do.",Marriage should be between a man and a woman,2
102arg1,"Let me put it in perspective for all the Pro commenters. In the Bible, God uses the word to know in place of sex (eg And Adam knew his wife). God ALSO uses the word to know in His description of the relationship He wants with us. So, if we put two and two together, we will see that this perversion is an abomination! Clearly!",Gay couples can declare their union without resort to marriage,3
102arg2,"Let me put it in perspective for all the Pro commenters. In the Bible, God uses the word to know in place of sex (eg And Adam knew his wife). God ALSO uses the word to know in His description of the relationship He wants with us. So, if we put two and two together, we will see that this perversion is an abomination! Clearly!",Gay couples should be able to take advantage of the fiscal and legal benefits of marriage,3
102arg3,"Let me put it in perspective for all the Pro commenters. In the Bible, God uses the word to know in place of sex (eg And Adam knew his wife). God ALSO uses the word to know in His description of the relationship He wants with us. So, if we put two and two together, we will see that this perversion is an abomination! Clearly!","Gay marriage undermines the institution of marriage, leading to an increase in out of wedlock births and divorce rates",3
